,sentiment,open,high,low,close,volume,trade_count,avg_size,num_blocks,avg_trans_count,avg_fee,avg_trans_size,avg_output_value,close_scaled
2021-02-06 00:00:00+00:00,0.0,-0.7646925925853023,-0.7386215373091424,-0.7410184146085428,38761.47,0.8292652162841447,0.21432424541422512,0.1291590806120706,-0.5151872350219051,0.14257861077038808,1.261915572504533,-0.27987777537904746,1.0871839231586835,-0.7205906074629328
2021-02-06 01:00:00+00:00,1.0,-0.7204160556900525,-0.6761982306654609,-0.7352537430258353,38850.34,3.464919137921243,1.677790261790087,0.3572570516074134,0.8995106916400257,0.00792237464752529,0.1448228733546965,-0.2621241868192645,-0.29005473727767633,-0.711531539838105
2021-02-06 02:00:00+00:00,0.0,-0.7112178543699476,-0.6748766721826536,-0.7001124605002784,39398.93,1.2429404314684227,0.40922148651913287,-0.420777836423348,0.31549977407615865,-0.834545830636569,0.4825318343495337,0.05144665437004017,-0.4714561152273178,-0.6556103751221767
2021-02-06 03:00:00+00:00,0.0,-0.6554405079118939,-0.6563738368399021,-0.6399684361748971,39407.94,0.8398498137980933,0.22734955608212737,-0.8826177009385163,-0.6012076156594711,-1.7606381866427245,0.5946712092660407,0.7591740836381431,-0.5319371780089438,-0.6546919302105111
2021-02-06 04:00:00+00:00,1.0,-0.6547473810393679,-0.6844600043499032,-0.6684747729440937,39201.62,0.09987570240400359,-0.3321598999413183,-0.4245922729383794,0.05153527270794141,0.2092410257655821,0.12726287350204596,-0.556761047448352,-0.6957896811536197,-0.6757234012620983
2021-02-06 05:00:00+00:00,0.0,-0.6755513802573806,-0.700789384280161,-0.6871197068266407,39056.37,-0.1584690439656897,-0.6196815724624198,-0.44955625635502217,0.5666033852019946,-1.4465737852830265,0.10059246153159263,1.2413035127558831,0.33665946876344555,-0.6905296302764597
2021-02-06 06:00:00+00:00,0.0,-0.6902874614281209,-0.6753849639068102,-0.660286423580472,39312.59,-0.3794246010599271,-0.7661439546392763,-0.145705025833041,0.21704017172874854,-0.04728373593669577,-0.049281797679898716,-0.23561257454311405,-0.23318053495196428,-0.664411544231299
2021-02-06 07:00:00+00:00,0.0,-0.6642411805845208,-0.6685972362224223,-0.6437532595787644,39389.96,-0.4729973766101596,-0.8636890589744554,0.27828202560823495,-0.1732140551343266,-0.04006963183460672,0.33490703585170584,-0.09366531139192007,0.006440347960252072,-0.6565247425869535
2021-02-06 08:00:00+00:00,0.0,-0.6560164147986249,-0.6525270850714847,-0.6244006526901448,39471.44,-0.48791610564461285,-0.9435776310709225,-0.3247012729090894,-0.14707060611702713,0.07495320781376588,0.4696885974320228,-0.32755325843690936,-0.04596262837762776,-0.6482189832748005
2021-02-06 09:00:00+00:00,0.0,-0.6480495329814767,-0.6311635839051796,-0.6189990214501484,39926.36,-0.2799870666831047,-0.8365771160286737,0.05439689972729196,0.9469484015504482,0.16675480024048306,-0.05530825536457557,-0.3770239520430128,-0.4652693863912859,-0.6018461798103374
