time,Open,Close,High,Low,Volume,Trade_Count,num_blocks,avg_diff,avg_gas_limit,total_gas_used,avg_block_size,num_transactions
2021-09-07 08:00:00+00:00,3885.11,3759.92,3885.4,3723.17,7810.24952001,5335.0,257,8754229710373804,30007065.84435797,3980871984,75030.72762645912,55478
2021-09-07 09:00:00+00:00,3759.92,3715.07,3782.99,3671.09,5509.38776656,3174.0,288,8728573882182534,30012510.552083343,4427012324,74639.50694444445,61312
2021-09-07 10:00:00+00:00,3714.0,3764.49,3775.54,3714.0,1955.28442114,1556.0,255,8737538179703251,30013899.341176465,3918601668,70435.3725490196,54418
2021-09-07 11:00:00+00:00,3764.01,3748.68,3767.83,3744.83,858.22546816,1211.0,237,8674848455646249,30011245.38818565,3658317377,70699.62447257384,49637
2021-09-07 12:00:00+00:00,3747.22,3756.88,3763.45,3713.58,1821.64934372,1556.0,265,8532516516537319,30012378.320754714,4084321343,70477.86037735849,54110
2021-09-07 13:00:00+00:00,3755.01,3729.49,3772.0,3729.49,1116.5107070000001,1241.0,289,8609260655177997,30022229.83737026,4522497676,72366.49134948097,56511
2021-09-07 14:00:00+00:00,3729.49,3405.0,3749.86,3405.0,12502.99258057,9470.0,272,8577658952473145,30013135.62132353,4285151848,89531.20588235301,58835
2021-09-07 15:00:00+00:00,3405.0,3462.8,3501.56,2900.0,33725.06500295,23354.0,287,8690435112449793,30013988.89547039,4396456130,82080.03484320558,60128
2021-09-07 16:00:00+00:00,3460.23,3569.95,3579.98,3428.45,6500.7208505,3940.0,259,8716952125187879,30018763.891891897,3942056614,80145.30115830115,57676
2021-09-07 17:00:00+00:00,3569.11,3426.97,3573.98,3425.62,6478.71353429,3803.0,270,8708409271962088,30015515.90000003,4157877305,63816.58888888888,55236
2021-09-07 18:00:00+00:00,3427.82,3448.83,3483.89,3342.33,9277.19308695,4703.0,276,8722470196312309,30010718.369565245,4242620356,77413.08695652176,61921
2021-09-07 19:00:00+00:00,3450.57,3412.46,3477.32,3407.02,3355.41941536,2127.0,269,8737489376164062,30013177.49070631,4176610511,81524.9144981413,76290
2021-09-07 20:00:00+00:00,3412.47,3415.05,3454.46,3360.77,7588.07481462,4913.0,276,8817109479237745,30012415.49637683,4208077777,83495.83333333337,53828
2021-09-07 21:00:00+00:00,3414.77,3373.98,3427.4,3325.0,3588.08780025,2593.0,266,8822748803074134,30013765.120300755,4128254644,84342.24436090226,50151
2021-09-07 22:00:00+00:00,3373.98,3439.79,3449.66,3340.15,1092.72816126,2119.0,251,8805899771979622,30017739.043824684,3866798924,74476.77689243032,49217
2021-09-07 23:00:00+00:00,3439.13,3432.33,3458.99,3390.62,1359.60683975,1758.0,258,8672106285292864,30012717.50000001,3959602705,78555.41085271316,52929
